t_s,df_hz
0.0,-5.60218538225854e-12
0.01,-5.60218538225854e-12
0.02,-5.60218538225854e-12
0.03,-5.60218538225854e-12
0.04,-5.60218538225854e-12
0.05,-5.60218538225854e-12
0.06,-5.60218538225854e-12
0.07,-5.60218538225854e-12
0.08,-5.60218538225854e-12
0.09,-5.60218538225854e-12
0.1,-5.60218538225854e-12
0.11,-5.60218538225854e-12
0.12,-5.60218538225854e-12
0.13,-5.60218538225854e-12
0.14,-5.60218538225854e-12
0.15,-5.60218538225854e-12
0.16,-5.60218538225854e-12
0.17,-5.60218538225854e-12
0.18,-5.60218538225854e-12
0.19,-5.60218538225854e-12
0.2,-5.60218538225854e-12
0.21,-5.60218538225854e-12
0.22,-5.60218538225854e-12
0.23,-5.60218538225854e-12
0.24,-5.60218538225854e-12
0.25,-5.60218538225854e-12
0.26,-0.0016543902969057586
0.27,-0.0037284770376925366
0.28,-0.006839605218171818
0.29,-0.010046695367848966
0.3,-0.012605192395014623
0.31,-0.014772905442511365
0.32,-0.016833232633910112
0.33,-0.018937242945613313
0.34,-0.021139165778933256
0.35,-0.023321668281429505
0.36,-0.02534253263114239
0.37,-0.027159738268806247
0.38,-0.028805419579941993
0.39,-0.03033157357369193
0.4,-0.031770471441848656
0.41,-0.0331185357014539
0.42,-0.03435324447901477
0.43,-0.03545826450847048
0.44,-0.03643360430182251
0.45,-0.03729117502958397
0.46,-0.038044794397666636
0.47,-0.03870306808771852
0.48,-0.039269021670672956
0.49,-0.039744057802831564
0.5,-0.040131644265761164
0.51,-0.04043830778802396
0.52,-0.040672310967954574
0.53,-0.0408417766012564
0.54,-0.04095372028326417
0.55,-0.041014250176637165
0.56,-0.041029285383566955
0.57,-0.04100505693676573
0.58,-0.040948101985671066
0.59,-0.04086492409624369
0.6,-0.040761654377278016
0.61,-0.040643916634884945
0.62,-0.04051688186202516
0.63,-0.0403853773433293
0.64,-0.040253935691325154
0.65,-0.04012675913418258
0.66,-0.040007645328050984
0.67,-0.03989993180813792
0.68,-0.03980648374890654
0.69,-0.03972971330542685
