t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
0.0,6.627920434709722e-12,5.170386341291078e-11,6.627920434709722e-12,5.170386341291078e-11,0.11123731845000495,-0.12034971299717745,0.0,0.0,SG-slack
0.01,6.627032256290022e-12,5.170741612658958e-11,6.627032256290022e-12,5.170741612658958e-11,0.11123731845000406,-0.1203497129971739,0.0,0.0,SG-slack
0.02,6.626144077870322e-12,5.170386341291078e-11,6.626144077870322e-12,5.170386341291078e-11,0.11123731845000318,-0.12034971299717745,0.0,0.0,SG-slack
0.03,6.625255899450622e-12,5.170386341291078e-11,6.625255899450622e-12,5.170386341291078e-11,0.11123731845000229,-0.12034971299717745,0.0,0.0,SG-slack
0.04,6.6243677210309215e-12,5.170386341291078e-11,6.6243677210309215e-12,5.170386341291078e-11,0.1112373184500014,-0.12034971299717745,0.0,0.0,SG-slack
0.05,6.623951387396687e-12,5.170738837101396e-11,6.623951387396687e-12,5.170738837101396e-11,0.11123731845000098,-0.12034971299717392,0.0,0.0,SG-slack
0.06,6.622591364191521e-12,5.170386341291078e-11,6.622591364191521e-12,5.170386341291078e-11,0.11123731844999962,-0.12034971299717745,0.0,0.0,SG-slack
0.07,6.621703185771821e-12,5.170741612658958e-11,6.621703185771821e-12,5.170741612658958e-11,0.11123731844999873,-0.1203497129971739,0.0,0.0,SG-slack
0.08,6.621703185771821e-12,5.170741612658958e-11,6.621703185771821e-12,5.170741612658958e-11,0.11123731844999873,-0.1203497129971739,0.0,0.0,SG-slack
0.09,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.1,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.11,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.12,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.13,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.14,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.15,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.16,6.621703185771821e-12,5.170741612658958e-11,6.621703185771821e-12,5.170741612658958e-11,0.11123731844999873,-0.1203497129971739,0.0,0.0,SG-slack
0.17,6.621703185771821e-12,5.170741612658958e-11,6.621703185771821e-12,5.170741612658958e-11,0.11123731844999873,-0.1203497129971739,0.0,0.0,SG-slack
0.18,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.19,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.2,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.21,6.622175030557287e-12,5.171094108469276e-11,6.622175030557287e-12,5.171094108469276e-11,0.1112373184499992,-0.12034971299717037,0.0,0.0,SG-slack
0.22,6.621703185771821e-12,5.170741612658958e-11,6.621703185771821e-12,5.170741612658958e-11,0.11123731844999873,-0.1203497129971739,0.0,0.0,SG-slack
0.23,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.24,6.621703185771821e-12,5.170386341291078e-11,6.621703185771821e-12,5.170386341291078e-11,0.11123731844999873,-0.12034971299717745,0.0,0.0,SG-slack
0.25,6.621703185771821e-12,5.170741612658958e-11,6.621703185771821e-12,5.170741612658958e-11,0.11123731844999873,-0.1203497129971739,0.0,0.0,SG-slack
0.26,0.006637417531234757,0.09349577289641572,0.006637417531234757,0.09349577289641572,0.11787473597461179,-0.026853940152465595,0.0,0.0,SG-slack
0.27,0.008171050997368173,0.06274334048479466,0.008171050997368173,0.06274334048479466,0.1194083694407452,-0.057606372564086655,0.0,0.0,SG-slack
0.28,0.013251799878428061,0.03225536328998885,0.013251799878428061,0.03225536328998885,0.12448911832180509,-0.08809434975889247,0.0,0.0,SG-slack
0.29,0.023799224020216225,0.029214929201399828,0.023799224020216225,0.029214929201399828,0.13503654246359326,-0.09113478384748148,0.0,0.0,SG-slack
0.3,0.03696165658435374,0.0270455560655377,0.03696165658435374,0.0270455560655377,0.14819897502773077,-0.09330415698334361,0.0,0.0,SG-slack
0.31,0.05260288783894687,0.0296650362508257,0.05260288783894687,0.0296650362508257,0.1638402062823239,-0.09068467679805561,0.0,0.0,SG-slack
0.32,0.06992413440815504,0.033331371290419534,0.06992413440815504,0.033331371290419534,0.18116145285153207,-0.08701834175846178,0.0,0.0,SG-slack
0.33,0.08804258101479781,0.030380197177659954,0.08804258101479781,0.030380197177659954,0.19927989945817484,-0.08996951587122136,0.0,0.0,SG-slack
0.34,0.10710676905600217,0.024527205972432103,0.10710676905600217,0.024527205972432103,0.2183440874993792,-0.09582250707644921,0.0,0.0,SG-slack
0.35,0.1272724727851848,0.01983464692422328,0.1272724727851848,0.01983464692422328,0.23850979122856183,-0.10051506612465803,0.0,0.0,SG-slack
0.36,0.14845474946049336,0.016835607628534074,0.14845474946049336,0.016835607628534074,0.2596920679038704,-0.10351410542034724,0.0,0.0,SG-slack
0.37,0.1705433094133389,0.015336746082294392,0.1705433094133389,0.015336746082294392,0.2817806278567159,-0.10501296696658692,0.0,0.0,SG-slack
0.38,0.19338191674380661,0.014243989286849987,0.19338191674380661,0.014243989286849987,0.30461923518718365,-0.10610572376203133,0.0,0.0,SG-slack
0.39,0.21682859180753772,0.01237700218383632,0.21682859180753772,0.01237700218383632,0.32806591025091475,-0.107972710865045,0.0,0.0,SG-slack
0.4,0.24080910735177447,0.009659968931834309,0.24080910735177447,0.009659968931834309,0.3520464257951515,-0.110689744117047,0.0,0.0,SG-slack
0.41,0.26526997829612414,0.006656870728585285,0.26526997829612414,0.006656870728585285,0.3765072967395012,-0.11369284232029603,0.0,0.0,SG-slack
