t_s,delta_rad
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,-2.3829263112640506e-5
0.27,-0.00011180882822208608
0.28,-0.00031788686887182304
0.29,-0.0006874127892088326
0.3,-0.001188276996260164
0.31,-0.0017764602473526146
0.32,-0.002439370460788531
0.33,-0.0031821392444379977
0.34,-0.004015554426374883
0.35,-0.004944827480573568
0.36,-0.005962393490749887
0.37,-0.0070533689449279865
0.38,-0.00820385985017294
0.39,-0.009404286767731196
0.4,-0.01064850876782155
0.41,-0.011930992917045725
0.42,-0.013244546400279687
0.43,-0.014580167873957394
0.44,-0.01592832608010644
0.45,-0.017280211927472835
0.46,-0.018628193639224893
0.47,-0.01996552761163858
0.48,-0.021285843208156855
0.49,-0.02258287855996908
0.5,-0.023850574474406964
0.51,-0.025083337613128254
0.52,-0.026276243011304934
0.53,-0.02742507510830123
0.54,-0.02852625195937674
0.55,-0.02957673569652586
0.56,-0.03057399658562108
0.57,-0.03151603061548797
0.58,-0.032401390759897175
0.59,-0.03322919553144508
0.6,-0.033999105507796785
0.61,-0.034711281481105034
0.62,-0.03536634250377516
0.63,-0.03596533276961137
0.64,-0.03650969479105747
0.65,-0.03700124159055425
0.66,-0.03744212289654981
0.67,-0.037834785543475635
0.68,-0.03818193144209575
0.69,-0.03848647642975983
0.7,-0.038751511244292415
0.71,-0.03898026408540723
0.72,-0.03917606371333896
0.73,-0.039342302710479636
0.74,-0.039482401386511407
0.75,-0.039599773181583954
0.76,-0.0396977922442612
0.77,-0.03977976344595671
0.78,-0.03984889478647459
0.79,-0.03990827212653239
0.8,-0.039960836286387906
0.81,-0.04000936265842793
0.82,-0.04005644351793067
0.83,-0.04010447310539042
0.84,-0.04015563548024731
0.85,-0.04021189509265616
0.86,-0.04027498996329863
0.87,-0.04034642743334458
0.88,-0.04042748236861887
0.89,-0.04051919776700771
0.9,-0.040622387610470476
0.91,-0.0407376418421518
0.92,-0.040865333294658926
0.93,-0.041005626389861626
0.94,-0.04115848745967847
0.95,-0.041323696481778555
0.96,-0.04150086006639975
0.97,-0.04168942550426628
0.98,-0.041888695673107726
0.99,-0.042097844635682016
1.0,-0.04231593371871778
1.01,-0.04254192791788778
1.02,-0.04277471243625882
1.03,-0.043013109199380214
1.04,-0.043255893189481094
1.05,-0.04350180844334736
1.06,-0.04374958358241645
1.07,-0.04399794674323332
