t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,q_abs_pu,q_initial_pu,asset_type,device_name
0.0,0.0,1.0000000000024878,1.0000000000024878,0.0,1.5751978055250075,1.5751978055250075,GFL,gen-2
0.01,4.440892098500626e-16,1.0000000000024882,1.0000000000024878,-6.661338147750939e-16,1.5751978055250069,1.5751978055250075,GFL,gen-2
0.02,4.440892098500626e-16,1.0000000000024882,1.0000000000024878,-6.661338147750939e-16,1.5751978055250069,1.5751978055250075,GFL,gen-2
0.03,4.4408920985005187e-16,1.0000000000024882,1.0000000000024878,-4.440892098500626e-16,1.575197805525007,1.5751978055250075,GFL,gen-2
0.04,8.881784197001129e-16,1.0000000000024887,1.0000000000024878,-1.1102230246251565e-15,1.5751978055250064,1.5751978055250075,GFL,gen-2
0.05,6.661338147750785e-16,1.0000000000024885,1.0000000000024878,-6.661338147751093e-16,1.5751978055250069,1.5751978055250075,GFL,gen-2
0.06,4.440892098500842e-16,1.0000000000024882,1.0000000000024878,-6.661338147750939e-16,1.5751978055250069,1.5751978055250075,GFL,gen-2
0.07,8.881784197001067e-16,1.0000000000024887,1.0000000000024878,-1.3322676295501695e-15,1.5751978055250062,1.5751978055250075,GFL,gen-2
0.08,1.3322676295501632e-15,1.0000000000024891,1.0000000000024878,-1.1102230246251565e-15,1.5751978055250064,1.5751978055250075,GFL,gen-2
0.09,8.88178419700156e-16,1.0000000000024887,1.0000000000024878,-8.881784197001252e-16,1.5751978055250067,1.5751978055250075,GFL,gen-2
0.1,1.1102230246251258e-15,1.000000000002489,1.0000000000024878,-8.881784197001252e-16,1.5751978055250067,1.5751978055250075,GFL,gen-2
0.11,8.881784197001252e-16,1.0000000000024887,1.0000000000024878,-8.881784197001252e-16,1.5751978055250067,1.5751978055250075,GFL,gen-2
0.12,8.881784197001684e-16,1.0000000000024887,1.0000000000024878,-8.88178419700082e-16,1.5751978055250067,1.5751978055250075,GFL,gen-2
0.13,8.881784197001252e-16,1.0000000000024887,1.0000000000024878,-6.661338147750939e-16,1.5751978055250069,1.5751978055250075,GFL,gen-2
0.14,6.661338147750939e-16,1.0000000000024885,1.0000000000024878,-8.881784197001252e-16,1.5751978055250067,1.5751978055250075,GFL,gen-2
0.15,8.881784197001745e-16,1.0000000000024887,1.0000000000024878,-8.881784197000759e-16,1.5751978055250067,1.5751978055250075,GFL,gen-2
0.16,1.1102230246251072e-15,1.000000000002489,1.0000000000024878,-6.661338147751432e-16,1.5751978055250069,1.5751978055250075,GFL,gen-2
0.17,8.881784197001252e-16,1.0000000000024887,1.0000000000024878,-8.881784197001745e-16,1.5751978055250067,1.5751978055250075,GFL,gen-2
0.18,8.881784197001252e-16,1.0000000000024887,1.0000000000024878,-1.110223024625095e-15,1.5751978055250064,1.5751978055250075,GFL,gen-2
0.19,8.881784197001252e-16,1.0000000000024887,1.0000000000024878,-8.881784197001252e-16,1.5751978055250067,1.5751978055250075,GFL,gen-2
0.2,8.881784197001868e-16,1.0000000000024887,1.0000000000024878,-8.881784197000636e-16,1.5751978055250067,1.5751978055250075,GFL,gen-2
0.21,8.881784197001252e-16,1.0000000000024887,1.0000000000024878,-4.440892098500626e-16,1.575197805525007,1.5751978055250075,GFL,gen-2
0.22,8.881784197001992e-16,1.0000000000024887,1.0000000000024878,-6.6613381477502e-16,1.5751978055250069,1.5751978055250075,GFL,gen-2
0.23,8.881784197001252e-16,1.0000000000024887,1.0000000000024878,-6.661338147751679e-16,1.5751978055250069,1.5751978055250075,GFL,gen-2
0.24,8.881784197001252e-16,1.0000000000024887,1.0000000000024878,-6.661338147750939e-16,1.5751978055250069,1.5751978055250075,GFL,gen-2
0.25,8.881784197001252e-16,1.0000000000024887,1.0000000000024878,-4.440892098500626e-16,1.575197805525007,1.5751978055250075,GFL,gen-2
0.26,0.039555566046058324,1.039555566048546,1.0000000000024878,-0.05917677183403304,1.5160210336909743,1.5751978055250075,GFL,gen-2
0.27,0.02143834598756699,1.0214383459900547,1.0000000000024878,-0.04566678956544917,1.5295310159595583,1.5751978055250075,GFL,gen-2
0.28,0.013426990820427207,1.013426990822915,1.0000000000024878,-0.02996569913973835,1.5452321063852692,1.5751978055250075,GFL,gen-2
0.29,0.020657964103504185,1.0206579641059919,1.0000000000024878,-0.028057372402348776,1.5471404331226588,1.5751978055250075,GFL,gen-2
0.3,0.028167549209100536,1.0281675492115883,1.0000000000024878,-0.02926813375038842,1.5459296717746192,1.5751978055250075,GFL,gen-2
0.31,0.030583398199715887,1.0305833982022037,1.0000000000024878,-0.02494509562981527,1.5502527098951921,1.5751978055250075,GFL,gen-2
0.32,0.029979444739265268,1.029979444741753,1.0000000000024878,-0.020007169921869267,1.5551906356031382,1.5751978055250075,GFL,gen-2
0.33,0.027614972716419578,1.0276149727189074,1.0000000000024878,-0.0163496794376589,1.5588481260873486,1.5751978055250075,GFL,gen-2
0.34,0.02573266464605512,1.0257326646485427,1.0000000000024878,-0.014056898580317344,1.5611409069446902,1.5751978055250075,GFL,gen-2
0.35,0.02572121120017138,1.025721211202659,1.0000000000024878,-0.01359528265809152,1.561602522866916,1.5751978055250075,GFL,gen-2
0.36,0.02673443871196511,1.0267344387144528,1.0000000000024878,-0.013833810417334256,1.5613639951076732,1.5751978055250075,GFL,gen-2
0.37,0.027588095253275186,1.027588095255763,1.0000000000024878,-0.013530885969660686,1.561666919555347,1.5751978055250075,GFL,gen-2
0.38,0.02778877753655258,1.0277887775390402,1.0000000000024878,-0.012584995603584673,1.562612809921423,1.5751978055250075,GFL,gen-2
0.39,0.027430749416980437,1.027430749419468,1.0000000000024878,-0.011376140342996475,1.563821665182011,1.5751978055250075,GFL,gen-2
0.4,0.026959234890356017,1.0269592348928438,1.0000000000024878,-0.010294252369478922,1.5649035531555286,1.5751978055250075,GFL,gen-2
0.41,0.026747445232166465,1.026747445234654,1.0000000000024878,-0.009546494308849357,1.565651311216158,1.5751978055250075,GFL,gen-2
0.42,0.02683214189735804,1.0268321418998458,1.0000000000024878,-0.009040464565405098,1.5661573409596024,1.5751978055250075,GFL,gen-2
0.43,0.02702652234559757,1.0270265223480854,1.0000000000024878,-0.008555179202472393,1.566642626322535,1.5751978055250075,GFL,gen-2
0.44,0.02713836354316091,1.0271383635456488,1.0000000000024878,-0.007958100698316073,1.5672397048266913,1.5751978055250075,GFL,gen-2
0.45,0.027091630788199168,1.027091630790687,1.0000000000024878,-0.007251375992060347,1.567946429532947,1.5751978055250075,GFL,gen-2
0.46,0.026927951770963382,1.026927951773451,1.0000000000024878,-0.006512524204936219,1.5686852813200713,1.5751978055250075,GFL,gen-2
0.47,0.026728329885353043,1.026728329887841,1.0000000000024878,-0.0058143285738172495,1.5693834769511903,1.5751978055250075,GFL,gen-2
0.48,0.026537061988269436,1.0265370619907572,1.0000000000024878,-0.00517612784836938,1.5700216776766382,1.5751978055250075,GFL,gen-2
0.49,0.02634293461361423,1.026342934616102,1.0000000000024878,-0.004571804150071319,1.5706260013749362,1.5751978055250075,GFL,gen-2
0.5,0.026106706380570766,1.0261067063830585,1.0000000000024878,-0.003967403136458908,1.5712304023885486,1.5751978055250075,GFL,gen-2
