t_s,V_pu,delta_V_pu,V_initial_pu
0.0,0.9600000000037644,0.0,0.9600000000037644
0.01,0.9600000000037643,-1.1102230246251565e-16,0.9600000000037644
0.02,0.9600000000037644,0.0,0.9600000000037644
0.03,0.9600000000037644,0.0,0.9600000000037644
0.04,0.9600000000037644,0.0,0.9600000000037644
0.05,0.9600000000037644,0.0,0.9600000000037644
0.06,0.9600000000037644,0.0,0.9600000000037644
0.07,0.9600000000037643,-1.1102230246251565e-16,0.9600000000037644
0.08,0.9600000000037643,-1.1102230246251565e-16,0.9600000000037644
0.09,0.9600000000037644,0.0,0.9600000000037644
0.1,0.9600000000037644,0.0,0.9600000000037644
0.11,0.9600000000037644,0.0,0.9600000000037644
0.12,0.9600000000037644,0.0,0.9600000000037644
0.13,0.9600000000037644,0.0,0.9600000000037644
0.14,0.9600000000037644,0.0,0.9600000000037644
0.15,0.9600000000037644,0.0,0.9600000000037644
0.16,0.9600000000037643,-1.1102230246251565e-16,0.9600000000037644
0.17,0.9600000000037643,-1.1102230246251565e-16,0.9600000000037644
0.18,0.9600000000037644,0.0,0.9600000000037644
0.19,0.9600000000037644,0.0,0.9600000000037644
0.2,0.9600000000037644,0.0,0.9600000000037644
0.21,0.9600000000037643,-1.1102230246251565e-16,0.9600000000037644
0.22,0.9600000000037643,-1.1102230246251565e-16,0.9600000000037644
0.23,0.9600000000037644,0.0,0.9600000000037644
0.24,0.9600000000037644,0.0,0.9600000000037644
0.25,0.9600000000037643,-1.1102230246251565e-16,0.9600000000037644
0.26,0.9451584976419853,-0.014841502361779058,0.9600000000037644
0.27,0.9504514274908731,-0.009548572512891318,0.9600000000037644
0.28,0.9550491133910594,-0.004950886612705041,0.9600000000037644
0.29,0.9557390441163587,-0.004260955887405715,0.9600000000037644
0.3,0.9557039249535536,-0.00429607505021079,0.9600000000037644
0.31,0.9547624599017642,-0.005237540102000171,0.9600000000037644
0.32,0.9537731289554325,-0.006226871048331861,0.9600000000037644
0.33,0.9538879129606981,-0.0061120870430663166,0.9600000000037644
0.34,0.9545691525614678,-0.005430847442296605,0.9600000000037644
0.35,0.9551177172855695,-0.004882282718194908,0.9600000000037644
0.36,0.9553425036871964,-0.004657496316567977,0.9600000000037644
0.37,0.9552675958376359,-0.004732404166128523,0.9600000000037644
0.38,0.9551028686500095,-0.004897131353754913,0.9600000000037644
0.39,0.955064684502372,-0.004935315501392368,0.9600000000037644
0.4,0.9551824774449881,-0.0048175225587763215,0.9600000000037644
0.41,0.9553629636590046,-0.0046370363447597596,0.9600000000037644
0.42,0.955512509908662,-0.004487490095102409,0.9600000000037644
0.43,0.9555928851224297,-0.004407114881334717,0.9600000000037644
0.44,0.9556258573859624,-0.0043741426178020015,0.9600000000037644
0.45,0.955656392831697,-0.0043436071720673874,0.9600000000037644
0.46,0.9557110674706982,-0.00428893253306617,0.9600000000037644
0.47,0.9557871245844883,-0.004212875419276063,0.9600000000037644
0.48,0.9558664482431105,-0.004133551760653886,0.9600000000037644
0.49,0.955933689901185,-0.004066310102579407,0.9600000000037644
0.5,0.9559854683369956,-0.004014531666768795,0.9600000000037644
0.51,0.9560278815998116,-0.00397211840395284,0.9600000000037644
0.52,0.9560684284525529,-0.003931571551211488,0.9600000000037644
0.53,0.9561102546070878,-0.003889745396676636,0.9600000000037644
0.54,0.9561517270437596,-0.003848272960004784,0.9600000000037644
0.55,0.9561894303851843,-0.003810569618580062,0.9600000000037644
0.56,0.9562211979547712,-0.0037788020489931684,0.9600000000037644
0.57,0.9562471023799113,-0.003752897623853113,0.9600000000037644
0.58,0.9562685344766004,-0.0037314655271639685,0.9600000000037644
0.59,0.9562867676920527,-0.0037132323117117227,0.9600000000037644
0.6,0.9563021942271719,-0.003697805776592511,0.9600000000037644
0.61,0.9563144809137989,-0.0036855190899655055,0.9600000000037644
0.62,0.9563231697168405,-0.0036768302869238934,0.9600000000037644
0.63,0.9563281347412226,-0.003671865262541818,0.9600000000037644
0.64,0.9563296400602109,-0.0036703599435534695,0.9600000000037644
0.65,0.9563281178224978,-0.0036718821812665725,0.9600000000037644
0.66,0.9563239289475896,-0.0036760710561748455,0.9600000000037644
0.67,0.9563172753132649,-0.0036827246904994615,0.9600000000037644
0.68,0.9563082615071095,-0.0036917384966549394,0.9600000000037644
0.69,0.9562970030552811,-0.003702996948483306,0.9600000000037644
0.7,0.9562836876090837,-0.003716312394680732,0.9600000000037644
0.71,0.956268565142451,-0.003731434861313443,0.9600000000037644
0.72,0.9562519012010483,-0.0037480988027160933,0.9600000000037644
0.73,0.9562339388273798,-0.003766061176384561,0.9600000000037644
0.74,0.9562148906295336,-0.0037851093742308217,0.9600000000037644
0.75,0.9561949533513551,-0.0038050466524093274,0.9600000000037644
0.76,0.9561743250681818,-0.0038256749355826125,0.9600000000037644
0.77,0.9561532113418487,-0.003846788661915679,0.9600000000037644
0.78,0.9561318197278175,-0.003868180275946931,0.9600000000037644
0.79,0.956110350262878,-0.0038896497408863473,0.9600000000037644
0.8,0.9560889893123955,-0.003911010691368899,0.9600000000037644
0.81,0.9560679089854796,-0.0039320910182848445,0.9600000000037644
0.82,0.9560472697085198,-0.003952730295244566,0.9600000000037644
0.83,0.9560272224491476,-0.00397277755461678,0.9600000000037644
0.84,0.9560079087874147,-0.003992091216349691,0.9600000000037644
0.85,0.955989459319531,-0.0040105406842333435,0.9600000000037644
0.86,0.9559719918825413,-0.004028008121223059,0.9600000000037644
0.87,0.9559556107166011,-0.00404438928716333,0.9600000000037644
0.88,0.9559404066523234,-0.004059593351441015,0.9600000000037644
0.89,0.9559264577778278,-0.004073542225936588,0.9600000000037644
0.9,0.95591382998216,-0.004086170021604385,0.9600000000037644
0.91,0.9559025771848485,-0.004097422818915897,0.9600000000037644
0.92,0.9558927414118804,-0.004107258591883989,0.9600000000037644
0.93,0.9558843529700202,-0.00411564703374423,0.9600000000037644
0.94,0.9558774308777389,-0.004122569126025488,0.9600000000037644
0.95,0.9558719834966112,-0.0041280165071532204,0.9600000000037644
0.96,0.9558680092535284,-0.004131990750235959,0.9600000000037644
0.97,0.955865497351588,-0.004134502652176408,0.9600000000037644
0.98,0.9558644284430143,-0.004135571560750062,0.9600000000037644
0.99,0.9558647753019197,-0.004135224701844686,0.9600000000037644
1.0,0.9558665035260534,-0.004133496477710996,0.9600000000037644
1.01,0.9558695722809561,-0.00413042772280825,0.9600000000037644
1.02,0.9558739350626254,-0.004126064941138985,0.9600000000037644
1.03,0.9558795404530583,-0.004120459550706057,0.9600000000037644
1.04,0.9558863328462458,-0.004113667157518597,0.9600000000037644
1.05,0.9558942531436777,-0.00410574686008669,0.9600000000037644
1.06,0.9559032394173209,-0.004096760586443482,0.9600000000037644
1.07,0.9559132275488806,-0.004086772454883758,0.9600000000037644
1.08,0.9559241518357626,-0.004075848168001772,0.9600000000037644
1.09,0.9559359455650926,-0.004064054438671749,0.9600000000037644
1.1,0.9559485415435347,-0.0040514584602296955,0.9600000000037644
1.11,0.9559618725846543,-0.004038127419110138,0.9600000000037644
1.12,0.9559758719512825,-0.004024128052481868,0.9600000000037644
1.13,0.9559904737551824,-0.004009526248581974,0.9600000000037644
1.14,0.9560056133143524,-0.003994386689411988,0.9600000000037644
1.15,0.9560212274708967,-0.003978772532867714,0.9600000000037644
1.16,0.9560372548653723,-0.003962745138392121,0.9600000000037644
1.17,0.9560536361749532,-0.003946363828811195,0.9600000000037644
1.18,0.9560703143091014,-0.00392968569466301,0.9600000000037644
1.19,0.956087234573062,-0.003912765430702403,0.9600000000037644
1.2,0.9561043447930004,-0.0038956552107639597,0.9600000000037644
1.21,0.9561215954131347,-0.0038784045906297138,0.9600000000037644
1.22,0.9561389395590081,-0.0038610604447563146,0.9600000000037644
1.23,0.9561563330760737,-0.00384366692769067,0.9600000000037644
1.24,0.9561737345396815,-0.003826265464082934,0.9600000000037644
1.25,0.9561911052429565,-0.0038088947608079238,0.9600000000037644
1.26,0.956208409161316,-0.0037915908424484,0.9600000000037644
1.27,0.9562256128987001,-0.0037743871050642808,0.9600000000037644
1.28,0.9562426856150382,-0.003757314388726174,0.9600000000037644
1.29,0.9562595989376748,-0.003740401066089638,0.9600000000037644
1.3,0.9562763268603239,-0.0037236731434404646,0.9600000000037644
1.31,0.956292845627932,-0.0037071543758323555,0.9600000000037644
1.32,0.9563091336133451,-0.0036908663904192673,0.9600000000037644
1.33,0.9563251711835772,-0.003674828820187215,0.9600000000037644
1.34,0.9563409405615287,-0.003659059442235657,0.9600000000037644
1.35,0.9563564256810636,-0.0036435743227007933,0.9600000000037644
1.36,0.9563716120400134,-0.0036283879637509786,0.9600000000037644
1.37,0.9563864865513787,-0.003613513452385697,0.9600000000037644
1.38,0.9564010373948553,-0.0035989626089091287,0.9600000000037644
1.39,0.9564152538699839,-0.0035847461337804587,0.9600000000037644
1.4,0.9564291262528759,-0.0035708737508884925,0.9600000000037644
1.41,0.956442645657447,-0.0035573543463174317,0.9600000000037644
1.42,0.956455803903168,-0.0035441961005964195,0.9600000000037644
1.43,0.9564685933899058,-0.0035314066138586453,0.9600000000037644
1.44,0.956481006981819,-0.0035189930219453602,0.9600000000037644
1.45,0.9564930379005444,-0.0035069621032199905,0.9600000000037644
1.46,0.9565046796293745,-0.003495320374389932,0.9600000000037644
1.47,0.9565159258285781,-0.003484074175186258,0.9600000000037644
1.48,0.9565267702629806,-0.0034732297407837898,0.9600000000037644
1.49,0.9565372067416241,-0.0034627932621402735,0.9600000000037644
1.5,0.9565472290712334,-0.0034527709325310463,0.9600000000037644
1.51,0.9565568310210549,-0.003443168982709466,0.9600000000037644
1.52,0.9565660063025475,-0.0034339937012168864,0.9600000000037644
1.53,0.9565747485597392,-0.003425251444025168,0.9600000000037644
1.54,0.9565830513742217,-0.003416948629542671,0.9600000000037644
1.55,0.9565909082795399,-0.0034090917242245444,0.9600000000037644
1.56,0.9565983127895988,-0.0034016872141655607,0.9600000000037644
1.57,0.9566052584346478,-0.003394741569116566,0.9600000000037644
1.58,0.9566117388091312,-0.003388261194633202,0.9600000000037644
1.59,0.9566177476273033,-0.003382252376461059,0.9600000000037644
1.6,0.9566232787856387,-0.003376721218125711,0.9600000000037644
1.61,0.956628326433024,-0.003371673570740419,0.9600000000037644
1.62,0.9566328850445713,-0.0033671149591930627,0.9600000000037644
1.63,0.956636949500779,-0.003363050502985354,0.9600000000037644
1.64,0.9566405151681054,-0.0033594848356589546,0.9600000000037644
1.65,0.9566435779819454,-0.003356422021818961,0.9600000000037644
1.66,0.9566461345290533,-0.0033538654747110597,0.9600000000037644
1.67,0.9566481821295403,-0.0033518178742241167,0.9600000000037644
1.68,0.956649718916255,-0.0033502810875093436,0.9600000000037644
1.69,0.9566507439111057,-0.003349256092658681,0.9600000000037644
1.7,0.9566512570971744,-0.003348742906590041,0.9600000000037644
1.71,0.9566512594854559,-0.0033487405183084684,0.9600000000037644
1.72,0.9566507531755987,-0.0033492468281657306,0.9600000000037644
1.73,0.9566497414098819,-0.0033502585938824936,0.9600000000037644
1.74,0.9566482286196069,-0.0033517713841575425,0.9600000000037644
1.75,0.9566462204635416,-0.0033537795402227566,0.9600000000037644
1.76,0.9566437238578926,-0.0033562761458717505,0.9600000000037644
1.77,0.9566407469973445,-0.0033592530064199266,0.9600000000037644
1.78,0.9566372993673184,-0.0033627006364459477,0.9600000000037644
1.79,0.9566333917466542,-0.003366608257110215,0.9600000000037644
1.8,0.9566290362015367,-0.0033709638022276778,0.9600000000037644
1.81,0.9566242460698011,-0.003375753933963277,0.9600000000037644
1.82,0.9566190359366712,-0.003380964067093206,0.9600000000037644
1.83,0.956613421601332,-0.003386578402432394,0.9600000000037644
1.84,0.9566074200353871,-0.003392579968377274,0.9600000000037644
1.85,0.9566010493329516,-0.0033989506708127504,0.9600000000037644
1.86,0.9565943286533474,-0.0034056713504170277,0.9600000000037644
1.87,0.956587278156508,-0.0034127218472563836,0.9600000000037644
1.88,0.9565799189319066,-0.0034200810718577612,0.9600000000037644
1.89,0.9565722729215188,-0.0034277270822455908,0.9600000000037644
1.9,0.9565643628373451,-0.0034356371664192586,0.9600000000037644
1.91,0.956556212074321,-0.0034437879294434426,0.9600000000037644
1.92,0.9565478446193978,-0.0034521553843666064,0.9600000000037644
1.93,0.9565392849568546,-0.0034607150469098125,0.9600000000037644
1.94,0.9565305579716883,-0.003469442032076109,0.9600000000037644
1.95,0.9565216888503139,-0.0034783111534505418,0.9600000000037644
1.96,0.9565127029809836,-0.003487297022780833,0.9600000000037644
1.97,0.9565036258527512,-0.0034963741510132262,0.9600000000037644
1.98,0.9564944829553819,-0.0035055170483825338,0.9600000000037644
1.99,0.9564852996798374,-0.003514700323926978,0.9600000000037644
2.0,0.9564761012199511,-0.0035238987838133173,0.9600000000037644
2.01,0.9564669124767436,-0.0035330875270207507,0.9600000000037644
2.02,0.9564577579647617,-0.003542242039002663,0.9600000000037644
2.03,0.956448661722116,-0.003551338281648442,0.9600000000037644
2.04,0.9564396472239037,-0.003560352779860665,0.9600000000037644
2.05,0.956430737299825,-0.0035692627039394242,0.9600000000037644
2.06,0.9564219540563742,-0.003578045947390196,0.9600000000037644
2.07,0.9564133188039476,-0.0035866811998167547,0.9600000000037644
2.08,0.9564048519890933,-0.00359514801467109,0.9600000000037644
2.09,0.9563965731324252,-0.003603426871339188,0.9600000000037644
2.1,0.9563885007720707,-0.0036114992316936823,0.9600000000037644
2.11,0.95638065241326,-0.003619347590504418,0.9600000000037644
2.12,0.9563730444836728,-0.0036269555200916237,0.9600000000037644
2.13,0.9563656922952629,-0.003634307708501483,0.9600000000037644
2.14,0.9563586100118198,-0.0036413899919446324,0.9600000000037644
2.15,0.956351810623212,-0.003648189380552447,0.9600000000037644
2.16,0.9563453059251277,-0.003654694078636722,0.9600000000037644
2.17,0.9563391065055221,-0.003660893498242279,0.9600000000037644
2.18,0.9563332217362627,-0.0036667782675017246,0.9600000000037644
2.19,0.9563276597712098,-0.003672340232554583,0.9600000000037644
2.2,0.9563224275493435,-0.0036775724544209076,0.9600000000037644
2.21,0.9563175308033086,-0.0036824692004557846,0.9600000000037644
2.22,0.9563129740733802,-0.003687025930384169,0.9600000000037644
2.23,0.9563087607257186,-0.0036912392780458214,0.9600000000037644
2.24,0.9563048929756667,-0.0036951070280977216,0.9600000000037644
2.25,0.9563013719147822,-0.0036986280889822476,0.9600000000037644
2.26,0.9562981975422035,-0.0037018024615609324,0.9600000000037644
2.27,0.9562953687992154,-0.0037046312045490026,0.9600000000037644
2.28,0.9562928836072684,-0.003707116396496013,0.9600000000037644
2.29,0.9562907389087818,-0.0037092610949825966,0.9600000000037644
2.3,0.9562889307105016,-0.003711069293262814,0.9600000000037644
2.31,0.9562874541290619,-0.0037125458747024886,0.9600000000037644
2.32,0.9562863034383868,-0.0037136965653775666,0.9600000000037644
2.33,0.9562854721186286,-0.003714527885135821,0.9600000000037644
2.34,0.9562849529062929,-0.003715047097471502,0.9600000000037644
2.35,0.9562847378452483,-0.0037152621585161416,0.9600000000037644
2.36,0.9562848183383373,-0.0037151816654270586,0.9600000000037644
2.37,0.9562851851992468,-0.00371481480451763,0.9600000000037644
2.38,0.9562858287044694,-0.003714171299294966,0.9600000000037644
2.39,0.9562867386449155,-0.0037132613588488628,0.9600000000037644
2.4,0.9562879043772037,-0.0037120956265607186,0.9600000000037644
2.41,0.95628931487413,-0.00371068512963435,0.9600000000037644
2.42,0.9562909587743159,-0.0037090412294484842,0.9600000000037644
2.43,0.9562928244307436,-0.0037071755730208045,0.9600000000037644
2.44,0.9562948999580261,-0.0037051000457383187,0.9600000000037644
2.45,0.9562971732783883,-0.0037028267253761404,0.9600000000037644
2.46,0.9562996321659393,-0.003700367837825125,0.9600000000037644
2.47,0.9563022642895405,-0.0036977357142239375,0.9600000000037644
2.48,0.9563050572537131,-0.003694942750051333,0.9600000000037644
2.49,0.9563079986379774,-0.0036920013657869566,0.9600000000037644
2.5,0.9563110760341105,-0.0036889239696539233,0.9600000000037644
2.51,0.956314277081692,-0.0036857229220723653,0.9600000000037644
