t_s,df_hz,frequency_source,frequency_is_derived_from_bus_voltage_angle,angle_is_exact_bus_voltage
0.0,-1.987846675914698e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.01,-3.313077793191163e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.02,8.834874115176437e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.03,1.1043592643970544e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.04,4.969616689786744e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.05,-2.2087185287941092e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.06,2.484808344893372e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.07,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.08,-7.454425034680121e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.09,8.282694482977907e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.1,-1.6565388965955813e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.11,-3.8652574253896925e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.12,6.626155586382325e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.13,6.350065770283058e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.14,-2.760898160992637e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.15,-7.454425034680121e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.16,4.969616689786741e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.17,6.62615558638233e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.18,-2.2087185287941102e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.19,-6.902245402481584e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.2,-0.1933191222571104,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.21,-0.2804363554365048,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.22,-0.032473453237304675,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.23,0.021477978219625875,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.24,-0.024986052829359298,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
