t_s,df_hz
0.0,-1.8318679906315083e-12
0.01,-1.8318679906315083e-12
0.02,-1.8318679906315083e-12
0.03,-1.8318679906315083e-12
0.04,-1.8318679906315083e-12
0.05,-1.8318679906315083e-12
0.06,-1.8318679906315083e-12
0.07,-1.8318679906315083e-12
0.08,-1.8318679906315083e-12
0.09,-1.8318679906315083e-12
0.1,-1.8318679906315083e-12
0.11,-1.8318679906315083e-12
0.12,-1.8318679906315083e-12
0.13,-1.8318679906315083e-12
0.14,-1.8318679906315083e-12
0.15,-1.8318679906315083e-12
0.16,-1.8318679906315083e-12
0.17,-1.8318679906315083e-12
0.18,-1.8318679906315083e-12
0.19,-1.8318679906315083e-12
0.2,-1.8318679906315083e-12
0.21,-0.018308402122969327
0.22,-0.04089169058620119
0.23,-0.05781329397661772
0.24,-0.07213693297573769
0.25,-0.08415269303062123
0.26,-0.09440131126629998
0.27,-0.10308883961327331
0.28,-0.11046045024366745
0.29,-0.11668347820557975
0.3,-0.1218762802663553
0.31,-0.11980064015719957
0.32,-0.10957616205807498
0.33,-0.10125445541259662
0.34,-0.09323309293059572
0.35,-0.08621282707920647
0.36,-0.07956541887565521
0.37,-0.0735654172658746
0.38,-0.06813826633121477
0.39,-0.0632967945036228
0.4,-0.05903856531692319
0.41,-0.05536510952477669
0.42,-0.05226458111769267
0.43,-0.049716911170428285
0.44,-0.04769371691761149
0.45,-0.04615893691165058
0.46,-0.04507054953080145
0.47,-0.044382160439281906
0.48,-0.044044680128931486
0.49,-0.04400778830739184
0.5,-0.04422136564554516
0.51,-0.044636747762800084
0.52,-0.04520783365246893
0.53,-0.045892142924516564
0.54,-0.046651500604318275
0.55,-0.04745281733319218
0.56,-0.048268464010310944
0.57,-0.04907654365627043
0.58,-0.04986096883457411
0.59,-0.05061126983472835
0.6,-0.05132221497907297
0.61,-0.051993259992148766
0.62,-0.05262784719483644
0.63,-0.053232611316998975
0.64,-0.05381654854470087
0.65,-0.05439013518197689
0.66,-0.054964576530907625
0.67,-0.05555104433523865
0.68,-0.05616005726707028
0.69,-0.05680093835878191
0.7,-0.05748144562705297
0.71,-0.058207447777201785
0.72,-0.05898277187895927
0.73,-0.059809107209708876
0.74,-0.06068602135579278
0.75,-0.0616110409891803
0.76,-0.06257979845920023
0.77,-0.06358620883599833
0.78,-0.06462271338439915
0.79,-0.06568051366952629
0.8,-0.06674984291624224
0.81,-0.06782020752177488
0.82,-0.06888067721368626
0.83,-0.0699201282463249
0.84,-0.07092745517361397
0.85,-0.07189181968397895
0.86,-0.07280282695957759
0.87,-0.07365070402275586
0.88,-0.07442642658409401
0.89,-0.07512186516600267
0.9,-0.07572985766056067
0.91,-0.07624428622842437
0.92,-0.07666012018636818
0.93,-0.07697344184855148
0.94,-0.07718144754420544
0.95,-0.0772824422617341
0.96,-0.07727580835810012
0.97,-0.07716196964114305
0.98,-0.07694233988435892
0.99,-0.07661926985102206
1.0,-0.07619598220825848
1.01,-0.07567650558457881
1.02,-0.0750656060834634
1.03,-0.0743687139877437
1.04,-0.0735918474312144
1.05,-0.07274153952780356
1.06,-0.07182477385935722
1.07,-0.07084889931444192
1.08,-0.0698215706721062
1.09,-0.06875066954217696
1.1,-0.06764422795530362
1.11,-0.06651037944293044
1.12,-0.06535727942592769
1.13,-0.06419304378971723
1.14,-0.06302568420592262
1.15,-0.06186305106960591
1.16,-0.06071277434495522
1.17,-0.05958220222959092
1.18,-0.05847835801943578
1.19,-0.05740788516359314
1.2,-0.056377001757962016
1.21,-0.05539145490323882
1.22,-0.054456492447134276
1.23,-0.053576823421161955
