t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,-2.8554220317555945e-5,0.000736805740608526,-2.8554220317555945e-5,0.000736805740608526,-2.8554220317555945e-5,0.000736805740608526,2.2999714457796823,1.6690414628495804,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.01,-2.855422032599364e-5,0.0007368057406071937,-2.855422032599364e-5,0.0007368057406071937,-2.855422032599364e-5,0.0007368057406071937,2.299971445779674,1.669041462849579,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.02,-2.855422032510546e-5,0.0007368057406147432,-2.855422032510546e-5,0.0007368057406147432,-2.855422032510546e-5,0.0007368057406147432,2.2999714457796747,1.6690414628495867,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.03,-2.855422032599364e-5,0.0007368057406147432,-2.855422032599364e-5,0.0007368057406147432,-2.855422032599364e-5,0.0007368057406147432,2.299971445779674,1.6690414628495867,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.04,-2.8554220321996837e-5,0.0007368057406080819,-2.8554220321996837e-5,0.0007368057406080819,-2.8554220321996837e-5,0.0007368057406080819,2.299971445779678,1.66904146284958,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.05,-2.855422032510546e-5,0.0007368057406074158,-2.855422032510546e-5,0.0007368057406074158,-2.855422032510546e-5,0.0007368057406074158,2.2999714457796747,1.6690414628495793,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.06,-2.855422032643773e-5,0.0007368057406222928,-2.855422032643773e-5,0.0007368057406222928,-2.855422032643773e-5,0.0007368057406222928,2.2999714457796734,1.6690414628495942,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.07,-2.8554220324661372e-5,0.0007368057406076378,-2.8554220324661372e-5,0.0007368057406076378,-2.8554220324661372e-5,0.0007368057406076378,2.299971445779675,1.6690414628495795,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.08,-2.8554220327325908e-5,0.0007368057406298423,-2.8554220327325908e-5,0.0007368057406298423,-2.8554220327325908e-5,0.0007368057406298423,2.2999714457796725,1.6690414628496018,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.09,-2.855422032599364e-5,0.0007368057406069717,-2.855422032599364e-5,0.0007368057406069717,-2.855422032599364e-5,0.0007368057406069717,2.299971445779674,1.6690414628495789,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.1,-2.855422032554955e-5,0.0007368057406069717,-2.855422032554955e-5,0.0007368057406069717,-2.855422032554955e-5,0.0007368057406069717,2.2999714457796743,1.6690414628495789,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
