t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,7.663081096165314e-5,-0.0021873162191621276,7.663081096165314e-5,-0.0021873162191621276,7.663081096165314e-5,-0.0021873162191621276,5.080076630810962,1.6651399940121956,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.01,7.663081095987678e-5,-0.0021873162191718976,7.663081095987678e-5,-0.0021873162191718976,7.663081095987678e-5,-0.0021873162191718976,5.08007663081096,1.6651399940121858,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.02,7.663081096165314e-5,-0.002187316219163238,7.663081096165314e-5,-0.002187316219163238,7.663081096165314e-5,-0.002187316219163238,5.080076630810962,1.6651399940121945,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.03,7.663081095543589e-5,-0.002187316219159019,7.663081095543589e-5,-0.002187316219159019,7.663081095543589e-5,-0.002187316219159019,5.0800766308109555,1.6651399940121987,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.04,7.663081096076496e-5,-0.0021873162191554663,7.663081096076496e-5,-0.0021873162191554663,7.663081096076496e-5,-0.0021873162191554663,5.080076630810961,1.6651399940122023,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.05,7.663081095810043e-5,-0.0021873162191514695,7.663081095810043e-5,-0.0021873162191514695,7.663081095810043e-5,-0.0021873162191514695,5.080076630810958,1.6651399940122062,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.06,7.663081096520585e-5,-0.002187316219168345,7.663081096520585e-5,-0.002187316219168345,7.663081096520585e-5,-0.002187316219168345,5.080076630810965,1.6651399940121894,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.07,7.663081095987678e-5,-0.002187316219154578,7.663081095987678e-5,-0.002187316219154578,7.663081095987678e-5,-0.002187316219154578,5.08007663081096,1.6651399940122031,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.08,7.663081096698221e-5,-0.002187316219170121,7.663081096698221e-5,-0.002187316219170121,7.663081096698221e-5,-0.002187316219170121,5.080076630810967,1.6651399940121876,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.09,7.663081095987678e-5,-0.002187316219178781,7.663081095987678e-5,-0.002187316219178781,7.663081095987678e-5,-0.002187316219178781,5.08007663081096,1.665139994012179,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.1,7.66308109589886e-5,-0.0021873162191470286,7.66308109589886e-5,-0.0021873162191470286,7.66308109589886e-5,-0.0021873162191470286,5.080076630810959,1.6651399940122107,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.11,7.663081096431767e-5,-0.0021873162191621276,7.663081096431767e-5,-0.0021873162191621276,7.663081096431767e-5,-0.0021873162191621276,5.080076630810964,1.6651399940121956,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.12,7.663081095543589e-5,-0.0021873162191710094,7.663081095543589e-5,-0.0021873162191710094,7.663081095543589e-5,-0.0021873162191710094,5.0800766308109555,1.6651399940121867,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.13,7.663081096520585e-5,-0.0021873162191563544,7.663081096520585e-5,-0.0021873162191563544,7.663081096520585e-5,-0.0021873162191563544,5.080076630810965,1.6651399940122014,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.14,7.663081095721225e-5,-0.002187316219158131,7.663081095721225e-5,-0.002187316219158131,7.663081095721225e-5,-0.002187316219158131,5.080076630810957,1.6651399940121996,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.15,7.663081095543589e-5,-0.0021873162191579087,7.663081095543589e-5,-0.0021873162191579087,7.663081095543589e-5,-0.0021873162191579087,5.0800766308109555,1.6651399940121998,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.16,7.66308109589886e-5,-0.0021873162191576867,7.66308109589886e-5,-0.0021873162191576867,7.66308109589886e-5,-0.0021873162191576867,5.080076630810959,1.6651399940122,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.17,7.663081096609403e-5,-0.0021873162191758944,7.663081096609403e-5,-0.0021873162191758944,7.663081096609403e-5,-0.0021873162191758944,5.080076630810966,1.6651399940121818,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.18,7.663081096076496e-5,-0.002187316219148805,7.663081096076496e-5,-0.002187316219148805,7.663081096076496e-5,-0.002187316219148805,5.080076630810961,1.665139994012209,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.19,7.663081095188318e-5,-0.002187316219159463,7.663081095188318e-5,-0.002187316219159463,7.663081095188318e-5,-0.002187316219159463,5.080076630810952,1.6651399940121983,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.2,7.663081095632407e-5,-0.002187316219163904,7.663081095632407e-5,-0.002187316219163904,7.663081095632407e-5,-0.002187316219163904,5.080076630810956,1.6651399940121938,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.21,-1.0525479773382909,-1.15492397881529,-1.0525479773382909,-1.15492397881529,-1.0525479773382909,-1.15492397881529,4.027452022661709,0.5124033314160676,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.22,-1.2054121577742691,-1.0670260024756073,-1.2054121577742691,-1.0670260024756073,-1.2054121577742691,-1.0670260024756073,3.874587842225731,0.6003013077557504,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.23,-1.178176620879205,-1.0155529249670538,-1.178176620879205,-1.0155529249670538,-1.178176620879205,-1.0155529249670538,3.901823379120795,0.6517743852643039,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.24,-1.1371842069536124,-0.9901355411852447,-1.1371842069536124,-0.9901355411852447,-1.1371842069536124,-0.9901355411852447,3.9428157930463876,0.677191769046113,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
