t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,0.000612965298545376,-0.007457493337268195,0.000612965298545376,-0.007457493337268195,0.000612965298545376,-0.007457493337268195,6.300612965298543,1.9452045241650187,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.01,0.000612965298550705,-0.007457493337266641,0.000612965298550705,-0.007457493337266641,0.000612965298550705,-0.007457493337266641,6.300612965298549,1.9452045241650202,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.02,0.0006129652985542577,-0.007457493337266641,0.0006129652985542577,-0.007457493337266641,0.0006129652985542577,-0.007457493337266641,6.300612965298552,1.9452045241650202,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.03,0.000612965298550705,-0.007457493337266641,0.000612965298550705,-0.007457493337266641,0.000612965298550705,-0.007457493337266641,6.300612965298549,1.9452045241650202,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.04,0.0006129652985400469,-0.007457493337268417,0.0006129652985400469,-0.007457493337268417,0.0006129652985400469,-0.007457493337268417,6.300612965298538,1.9452045241650184,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.05,0.000612965298550705,-0.007457493337267085,0.000612965298550705,-0.007457493337267085,0.000612965298550705,-0.007457493337267085,6.300612965298549,1.9452045241650198,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.06,0.0006129652985480405,-0.007457493337283072,0.0006129652985480405,-0.007457493337283072,0.0006129652985480405,-0.007457493337283072,6.300612965298546,1.9452045241650038,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.07,0.0006129652985471523,-0.007457493337267307,0.0006129652985471523,-0.007457493337267307,0.0006129652985471523,-0.007457493337267307,6.300612965298545,1.9452045241650195,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.08,0.0006129652985542577,-0.007457493337282184,0.0006129652985542577,-0.007457493337282184,0.0006129652985542577,-0.007457493337282184,6.300612965298552,1.9452045241650047,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.09,0.0006129652985489287,-0.007457493337267973,0.0006129652985489287,-0.007457493337267973,0.0006129652985489287,-0.007457493337267973,6.300612965298547,1.9452045241650189,6.299999999999998,1.9526620175022869,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
