t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,0.000826524610178403,-0.0060064281628360305,0.000826524610178403,-0.0060064281628360305,0.000826524610178403,-0.0060064281628360305,5.600826524610178,0.9131017557795497,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.01,0.000826524610178403,-0.0060064281628356975,0.000826524610178403,-0.0060064281628356975,0.000826524610178403,-0.0060064281628356975,5.600826524610178,0.91310175577955,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.02,0.0008265246101792911,-0.006006428162844024,0.0008265246101792911,-0.006006428162844024,0.0008265246101792911,-0.006006428162844024,5.600826524610179,0.9131017557795417,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.03,0.0008265246101792911,-0.006006428162850241,0.0008265246101792911,-0.006006428162850241,0.0008265246101792911,-0.006006428162850241,5.600826524610179,0.9131017557795355,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.04,0.0008265246101881729,-0.006006428162846467,0.0008265246101881729,-0.006006428162846467,0.0008265246101881729,-0.006006428162846467,5.600826524610188,0.9131017557795392,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.05,0.0008265246101828438,-0.006006428162849131,0.0008265246101828438,-0.006006428162849131,0.0008265246101828438,-0.006006428162849131,5.6008265246101825,0.9131017557795366,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.06,0.0008265246101792911,-0.0060064281628355864,0.0008265246101792911,-0.0060064281628355864,0.0008265246101792911,-0.0060064281628355864,5.600826524610179,0.9131017557795501,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.07,0.0008265246101828438,-0.006006428162848909,0.0008265246101828438,-0.006006428162848909,0.0008265246101828438,-0.006006428162848909,5.6008265246101825,0.9131017557795368,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.08,0.0008265246101766266,-0.006006428162852684,0.0008265246101766266,-0.006006428162852684,0.0008265246101766266,-0.006006428162852684,5.600826524610176,0.913101755779533,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.09,0.0008265246101801793,-0.0060064281628358085,0.0008265246101801793,-0.0060064281628358085,0.0008265246101801793,-0.0060064281628358085,5.60082652461018,0.9131017557795499,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.1,0.0008265246101766266,-0.006006428162844024,0.0008265246101766266,-0.006006428162844024,0.0008265246101766266,-0.006006428162844024,5.600826524610176,0.9131017557795417,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
