t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,delta_q_injection_pu,q_abs_pu,q_injection_abs_pu,q_initial_pu,delta_q_absorbed_pu,q_absorbed_abs_pu,asset_type,device_name,p_source,q_source
0.0,0.0,5.600000000008685,5.600000000008685,0.0,0.0,0.9129880290460656,0.9129880290460656,0.9129880290460656,-0.0,-0.9129880290460656,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.01,-4.0856207306205765e-15,5.600000000008681,5.600000000008685,2.375877272697834e-15,2.375877272697834e-15,0.9129880290460679,0.9129880290460679,0.9129880290460656,-2.375877272697834e-15,-0.9129880290460679,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.02,-3.552713678800501e-15,5.600000000008681,5.600000000008685,-3.375077994860464e-15,-3.375077994860464e-15,0.9129880290460621,0.9129880290460621,0.9129880290460656,3.375077994860464e-15,-0.9129880290460621,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.03,-2.486899575160315e-15,5.6000000000086825,5.600000000008685,2.8865798640262093e-16,2.8865798640262093e-16,0.9129880290460659,0.9129880290460659,0.9129880290460656,-2.8865798640262093e-16,-0.9129880290460659,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.04,-2.6645352591003757e-15,5.6000000000086825,5.600000000008685,4.463096558993096e-15,4.463096558993096e-15,0.9129880290460701,0.9129880290460701,0.9129880290460656,-4.463096558993096e-15,-0.9129880290460701,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.05,-2.131628207280409e-15,5.600000000008683,5.600000000008685,-1.4432899320128388e-15,-1.4432899320128388e-15,0.9129880290460641,0.9129880290460641,0.9129880290460656,1.4432899320128388e-15,-0.9129880290460641,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.06,-4.085620730620418e-15,5.600000000008681,5.600000000008685,-6.439293542823838e-16,-6.439293542823838e-16,0.9129880290460649,0.9129880290460649,0.9129880290460656,6.439293542823838e-16,-0.9129880290460649,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.07,-2.1316282072802614e-15,5.6000000000086825,5.600000000008685,4.063416270127955e-15,4.063416270127955e-15,0.9129880290460697,0.9129880290460697,0.9129880290460656,-4.063416270127955e-15,-0.9129880290460697,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.08,-7.10542735760126e-15,5.600000000008678,5.600000000008685,-1.7985612998926695e-15,-1.7985612998926695e-15,0.9129880290460638,0.9129880290460638,0.9129880290460656,1.7985612998926695e-15,-0.9129880290460638,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.09,-4.440892098500626e-15,5.600000000008681,5.600000000008685,-2.4424906541691e-16,-2.4424906541691e-16,0.9129880290460652,0.9129880290460652,0.9129880290460656,2.4424906541691e-16,-0.9129880290460652,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.1,-5.329070518200751e-15,5.60000000000868,5.600000000008685,2.7311486405780533e-15,2.7311486405780533e-15,0.9129880290460682,0.9129880290460682,0.9129880290460656,-2.7311486405780533e-15,-0.9129880290460682,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.11,-4.9737991503207775e-15,5.600000000008681,5.600000000008685,-1.0436096431480197e-15,-1.0436096431480197e-15,0.9129880290460646,0.9129880290460646,0.9129880290460656,1.0436096431480197e-15,-0.9129880290460646,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.12,-4.440892098500626e-15,5.600000000008681,5.600000000008685,5.528910662633701e-15,5.528910662633701e-15,0.9129880290460711,0.9129880290460711,0.9129880290460656,-5.528910662633701e-15,-0.9129880290460711,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.13,-3.1974423109205397e-15,5.6000000000086825,5.600000000008685,-2.5091040356530314e-15,-2.5091040356530314e-15,0.9129880290460631,0.9129880290460631,0.9129880290460656,2.5091040356530314e-15,-0.9129880290460631,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.14,-3.019806626980337e-15,5.6000000000086825,5.600000000008685,2.5091040356531975e-15,2.5091040356531975e-15,0.9129880290460681,0.9129880290460681,0.9129880290460656,-2.5091040356531975e-15,-0.9129880290460681,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.15,-4.618527782440311e-15,5.600000000008681,5.600000000008685,3.530509218308749e-15,3.530509218308749e-15,0.9129880290460691,0.9129880290460691,0.9129880290460656,-3.530509218308749e-15,-0.9129880290460691,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.16,-1.5987211554599985e-15,5.600000000008683,5.600000000008685,6.772360450214305e-15,6.772360450214305e-15,0.9129880290460723,0.9129880290460723,0.9129880290460656,-6.772360450214305e-15,-0.9129880290460723,GFM,gen-7,get_activepower_series,get_reactivepower_series
0.17,-4.085620730620689e-15,5.600000000008681,5.600000000008685,3.3306690738790136e-16,3.3306690738790136e-16,0.9129880290460659,0.9129880290460659,0.9129880290460656,-3.3306690738790136e-16,-0.9129880290460659,GFM,gen-7,get_activepower_series,get_reactivepower_series
