t_s,V_pu,delta_V_pu,V_initial_pu
0.0,1.0489999999938222,0.0,1.0489999999938222
0.01,1.0489999999938222,0.0,1.0489999999938222
0.02,1.0489999999938222,0.0,1.0489999999938222
0.03,1.0489999999938222,0.0,1.0489999999938222
0.04,1.0489999999938222,0.0,1.0489999999938222
0.05,1.0489999999938222,0.0,1.0489999999938222
0.06,1.0489999999938222,0.0,1.0489999999938222
0.07,1.0489999999938222,0.0,1.0489999999938222
0.08,1.0489999999938222,0.0,1.0489999999938222
0.09,1.0489999999938222,0.0,1.0489999999938222
0.1,1.0489999999938222,0.0,1.0489999999938222
0.11,1.048999999993822,-2.220446049250313e-16,1.0489999999938222
0.12,1.048999999993822,-2.220446049250313e-16,1.0489999999938222
0.13,1.0489999999938222,0.0,1.0489999999938222
0.14,1.0489999999938222,0.0,1.0489999999938222
0.15,1.0489999999938222,0.0,1.0489999999938222
0.16,1.0489999999938222,0.0,1.0489999999938222
0.17,1.0489999999938222,0.0,1.0489999999938222
0.18,1.0489999999938222,0.0,1.0489999999938222
0.19,1.0489999999938222,0.0,1.0489999999938222
0.2,1.048999999993822,-2.220446049250313e-16,1.0489999999938222
0.21,0.6754975384348834,-0.37350246155893885,1.0489999999938222
0.22,0.6422310807237275,-0.40676891927009473,1.0489999999938222
0.23,0.6316460270786755,-0.41735397291514675,1.0489999999938222
0.24,0.625217894825569,-0.4237821051682532,1.0489999999938222
0.25,0.6194843522622527,-0.42951564773156947,1.0489999999938222
0.26,0.6149064485490593,-0.4340935514447629,1.0489999999938222
0.27,0.6114050452366945,-0.43759495475712773,1.0489999999938222
0.28,0.6084859618748203,-0.4405140381190019,1.0489999999938222
0.29,0.6059988705012792,-0.443001129492543,1.0489999999938222
0.3,0.6039415192206337,-0.44505848077318855,1.0489999999938222
0.31,1.029583201823273,-0.01941679817054931,1.0489999999938222
0.32,1.0260690065352391,-0.02293099345858307,1.0489999999938222
0.33,1.0269819418198367,-0.0220180581739855,1.0489999999938222
0.34,1.0341687251555443,-0.014831274838277952,1.0489999999938222
0.35,1.0381220593102145,-0.0108779406836077,1.0489999999938222
0.36,1.0443499312221776,-0.004650068771644644,1.0489999999938222
0.37,1.0490008258491212,8.258552990358936e-7,1.0489999999938222
0.38,1.0530869716686262,0.004086971674803985,1.0489999999938222
0.39,1.0566858288618897,0.007685828868067457,1.0489999999938222
0.4,1.0599495705813025,0.01094957058748025,1.0489999999938222
0.41,1.062885446210292,0.013885446216469699,1.0489999999938222
0.42,1.065550693745849,0.01655069375202678,1.0489999999938222
0.43,1.0679769097552994,0.018976909761477145,1.0489999999938222
0.44,1.070185496219897,0.021185496226074685,1.0489999999938222
0.45,1.0721972054828561,0.023197205489033923,1.0489999999938222
0.46,1.0740298704866036,0.02502987049278138,1.0489999999938222
0.47,1.0757004652167395,0.026700465222917247,1.0489999999938222
0.48,1.0772245488396037,0.028224548845781516,1.0489999999938222
0.49,1.0786169246110802,0.029616924617257956,1.0489999999938222
0.5,1.0798912946682513,0.03089129467442908,1.0489999999938222
0.51,1.0810602606561426,0.03206026066232037,1.0489999999938222
0.52,1.0821352250339948,0.03313522504017263,1.0489999999938222
0.53,1.0831263904831447,0.03412639048932253,1.0489999999938222
0.54,1.0840428768914043,0.03504287689758212,1.0489999999938222
0.55,1.084892821765841,0.03589282177201869,1.0489999999938222
0.56,1.0856835815077868,0.03668358151396456,1.0489999999938222
0.57,1.0864219602839806,0.03742196029015843,1.0489999999938222
0.58,1.0871143424490763,0.038114342455254135,1.0489999999938222
0.59,1.08776688624852,0.03876688625469771,1.0489999999938222
0.6,1.0883855537490787,0.03938555375525654,1.0489999999938222
0.61,1.0889761668073752,0.03997616681355298,1.0489999999938222
0.62,1.0895442872080245,0.040544287214202335,1.0489999999938222
0.63,1.090095191784235,0.041095191790412766,1.0489999999938222
0.64,1.0906336986693508,0.041633698675528574,1.0489999999938222
0.65,1.0911640727999379,0.04216407280611567,1.0489999999938222
0.66,1.0916899196961403,0.04268991970231806,1.0489999999938222
0.67,1.0922141305738036,0.04321413057998136,1.0489999999938222
0.68,1.092738858764237,0.043738858770414835,1.0489999999938222
0.69,1.0932655394786044,0.04426553948478218,1.0489999999938222
0.7,1.09379494639641,0.044794946402587854,1.0489999999938222
0.71,1.0943272713785948,0.04532727138477255,1.0489999999938222
0.72,1.094862213510026,0.0458622135162039,1.0489999999938222
0.73,1.0953990877032858,0.04639908770946355,1.0489999999938222
0.74,1.0959369141300983,0.0469369141362761,1.0489999999938222
