POWER FLOW RESULTS (SYSTEM_BASE)
System base MVA: 100.000
Columns include bus voltage magnitude/angle and bus injections/withdrawals (P,Q) in pu and MW/MVAr.
------------------------------------------------------------------------------------------------------------------------
  Bus     Vm[pu]     Va[deg]    Pinj[MW]  Qinj[MVAr]     Pwd[MW]   Qwd[MVAr]    Pnet[MW]  Qnet[MVAr]
------------------------------------------------------------------------------------------------------------------------
    1    1.03829    -0.11668       0.000       0.000      97.600      44.200     -97.600     -44.200
    2    1.04561     1.92921       0.000       0.000       0.000       0.000       0.000       0.000
    3    1.02088    -0.85904       0.000       0.000     322.000       2.400    -322.000      -2.400
    4    0.99354    -1.54471       0.000       0.000     500.000     184.000    -500.000    -184.000
    5    0.99712    -0.36685       0.000       0.000       0.000       0.000       0.000       0.000
    6    1.00684     0.35824       0.000       0.000       0.000       0.000       0.000       0.000
    7    0.99106    -1.64226       0.000       0.000     233.800      84.000    -233.800     -84.000
    8    0.98753    -2.13796       0.000       0.000     522.000     176.000    -522.000    -176.000
    9    1.03381    -1.11031       0.000       0.000       6.500     -66.600      -6.500      66.600
   10    1.02149     2.62561       0.000       0.000       0.000       0.000       0.000       0.000
   11    1.01325     1.90045       0.000       0.000       0.000       0.000       0.000       0.000
   12    1.00014     1.91831       0.000       0.000       7.500      88.000      -7.500     -88.000
   13    1.01332     2.01948       0.000       0.000       0.000       0.000       0.000       0.000
   14    1.00566     0.38603       0.000       0.000       0.000       0.000       0.000       0.000
   15    1.00586     0.05819       0.000       0.000     320.000     153.000    -320.000    -153.000
   16    1.02372     1.38761       0.000       0.000     329.000      32.300    -329.000     -32.300
   17    1.02390     0.27899       0.000       0.000       0.000       0.000       0.000       0.000
   18    1.02003    -0.57826       0.000       0.000     158.000      30.000    -158.000     -30.000
   19    1.04904     6.65596       0.000       0.000       0.000       0.000       0.000       0.000
   20    0.99017     5.64289       0.000       0.000     628.000     103.000    -628.000    -103.000
   21    1.02686     3.78564       0.000       0.000     274.000     115.000    -274.000    -115.000
   22    1.05205     8.04779       0.000       0.000       0.000       0.000       0.000       0.000
   23    1.04636     7.90524       0.000       0.000     247.500      84.600    -247.500     -84.600
   24    1.02950     1.40708       0.000       0.000     308.600     -92.200    -308.600      92.200
   25    1.05372     3.33836       0.000       0.000     224.000      47.200    -224.000     -47.200
   26    1.04439     2.09231       0.000       0.000     139.000      17.000    -139.000     -17.000
   27    1.02725     0.07690       0.000       0.000     281.000      75.500    -281.000     -75.500
   28    1.04560     5.65005       0.000       0.000     206.000      27.600    -206.000     -27.600
   29    1.04868     8.43334       0.000       0.000     283.500      26.900    -283.500     -26.900
   30    1.04800     4.14854     250.000     176.830      20.000      10.000     230.000     166.830
   31    0.98200     8.31440     520.800     201.352       9.200       4.600     511.600     196.752
   32    0.98300    10.58833     650.000     184.518       0.000       0.000     650.000     184.518
   33    0.99700    11.79000     632.000     100.997       0.000       0.000     632.000     100.997
   34    1.01200    10.82921     508.000     166.733       0.000       0.000     508.000     166.733
   35    1.04900    12.74663     650.000     205.266      20.000      10.000     630.000     195.266
   36    1.06000    15.74032     560.000      91.911       0.000       0.000     560.000      91.911
   37    1.02800    10.08310     540.000       8.237       0.000       0.000     540.000       8.237
   38    1.02600    15.69083     830.000      19.281       0.000       0.000     830.000      19.281
   39    1.03000     0.00000      80.823    -165.974       0.000       0.000      80.823    -165.974
------------------------------------------------------------------------------------------------------------------------
Note: Pinj/Qinj and Pwd/Qwd are bus-level totals from PowerFlowData; Pnet/Qnet = injections - withdrawals.
